Index,STNAME,CTYNAME,STCODE,CTYCODE,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,"Less than a high school diploma, 2009-2013","High school diploma only, 2009-2013","Some college or associate's degree, 2009-2013","Bachelor's degree or higher, 2009-2013","Percent of adults with less than a high school diploma, 2009-2013","Percent of adults with a high school diploma only, 2009-2013","Percent of adults completing some college or associate's degree, 2009-2013","Percent of adults with a bachelor's degree or higher, 2009-2013",Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Median_Household_Income_2013
Virginia-Giles County,Virginia,Giles County,51,71,0,0,0,0,0,0,0,0,0,0,3,0,10,6,16,"2,355","4,506","3,230","2,004",19,37,27,17,"8,234","7,661",573,7,"8,273","7,774",499,6,"43,504"
Virginia-Gloucester County,Virginia,Gloucester County,51,73,0,0,1,0,0,0,0,0,1,0,0,0,1,2,1,"2,770","8,546","8,915","5,699",11,33,34,22,"19,363","18,355","1,008",5,"19,392","18,452",940,5,"58,824"
Virginia-Goochland County,Virginia,Goochland County,51,75,1,0,0,1,0,0,1,1,2,0,3,1,1,2,1,"2,019","4,047","3,859","6,086",13,25,24,38,"10,393","9,860",533,5,"10,533","10,033",500,5,"76,843"
Virginia-Grayson County,Virginia,Grayson County,51,77,1,0,0,0,0,0,0,0,0,0,0,2,0,8,8,"2,839","4,335","3,044","1,254",25,38,27,11,"7,024","6,349",675,10,"7,120","6,569",551,8,"33,302"
Virginia-Greene County,Virginia,Greene County,51,79,0,0,3,0,0,1,0,1,4,8,10,6,7,7,7,"2,124","4,268","3,167","3,028",17,34,25,24,"9,707","9,240",467,5,"9,954","9,521",433,4,"59,730"
Virginia-Greensville County,Virginia,Greensville County,51,81,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"2,447","3,819","2,047",641,27,43,23,7,"4,373","4,027",346,8,"4,279","3,992",287,7,"38,036"
Virginia-Halifax County,Virginia,Halifax County,51,83,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"5,377","8,889","7,324","3,871",21,35,29,15,"15,893","14,443","1,450",9,"15,675","14,451","1,224",8,"35,553"
Virginia-Hanover County,Virginia,Hanover County,51,85,2,3,0,1,2,2,0,3,2,8,5,6,1,6,3,"5,352","18,631","19,513","23,897",8,28,29,35,"55,527","52,725","2,802",5,"56,243","53,695","2,548",5,"77,316"
Virginia-Henrico County,Virginia,Henrico County,51,87,3,0,2,3,3,2,1,9,4,5,9,6,15,19,5,"20,890","48,607","57,851","83,807",10,23,27,40,"174,447","164,751","9,696",6,"176,843","167,881","8,962",5,"60,050"
Virginia-Henry County,Virginia,Henry County,51,89,3,1,0,1,1,0,0,0,1,0,0,0,2,3,2,"8,874","13,325","12,104","4,337",23,34,31,11,"23,450","21,324","2,126",9,"22,926","21,157","1,769",8,"36,066"
Virginia-Highland County,Virginia,Highland County,51,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,771,308,390,21,41,17,21,"1,422","1,361",61,4,"1,434","1,379",55,4,"38,314"
Virginia-Isle of Wight County,Virginia,Isle of Wight County,51,93,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,"3,483","7,183","7,976","6,388",14,29,32,26,"18,895","17,814","1,081",6,"18,903","17,907",996,5,"62,495"
Virginia-James City County,Virginia,James City County,51,95,0,0,0,3,1,0,1,6,4,6,8,4,2,2,1,"3,188","10,715","12,568","22,350",7,22,26,46,"33,771","31,970","1,801",5,"33,836","32,157","1,679",5,"75,806"
Virginia-King and Queen County,Virginia,King and Queen County,51,97,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,942,"2,102","1,326",720,19,41,26,14,"3,646","3,424",222,6,"3,653","3,442",211,6,"44,697"
Virginia-King George County,Virginia,King George County,51,99,0,1,1,1,1,5,3,8,6,0,3,6,6,5,6,"1,392","4,510","4,851","4,860",9,29,31,31,"11,993","11,308",685,6,"12,184","11,543",641,5,"78,180"
