Index,STNAME,CTYNAME,STCODE,CTYCODE,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,"Less than a high school diploma, 2009-2013","High school diploma only, 2009-2013","Some college or associate's degree, 2009-2013","Bachelor's degree or higher, 2009-2013","Percent of adults with less than a high school diploma, 2009-2013","Percent of adults with a high school diploma only, 2009-2013","Percent of adults completing some college or associate's degree, 2009-2013","Percent of adults with a bachelor's degree or higher, 2009-2013",Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Median_Household_Income_2013
New Mexico-San Miguel County,New Mexico,San Miguel County,35,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,159","6,367","6,276","3,843",16,32,32,20,"11,358","10,462",896,8,"11,214","10,348",866,8,"31,222"
New Mexico-Santa Fe County,New Mexico,Santa Fe County,35,49,0,1,0,0,0,0,1,0,1,0,1,3,0,1,0,"13,520","22,158","27,229","41,391",13,21,26,40,"72,701","68,629","4,072",6,"71,510","67,667","3,843",5,"51,697"
New Mexico-Sierra County,New Mexico,Sierra County,35,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,496","3,315","2,591","1,977",16,35,28,21,"3,841","3,486",355,9,"3,849","3,511",338,9,"29,680"
New Mexico-Socorro County,New Mexico,Socorro County,35,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,338","3,586","2,929","2,132",21,33,27,19,"6,612","6,130",482,7,"6,449","5,987",462,7,"32,090"
New Mexico-Taos County,New Mexico,Taos County,35,55,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,"3,014","6,042","7,911","7,110",13,25,33,30,"14,958","13,441","1,517",10,"14,752","13,322","1,430",10,"33,021"
New Mexico-Torrance County,New Mexico,Torrance County,35,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,128","3,719","3,557","1,627",19,34,32,15,"5,220","4,699",521,10,"5,185","4,690",495,10,"35,046"
New Mexico-Union County,New Mexico,Union County,35,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,"1,148",739,531,23,37,24,17,"1,680","1,595",85,5,"1,672","1,587",85,5,"37,902"
New Mexico-Valencia County,New Mexico,Valencia County,35,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,562","15,111","16,746","8,226",19,30,34,17,"29,549","27,096","2,453",8,"29,284","27,036","2,248",8,"41,412"
New Mexico-New Mexico,New Mexico,New Mexico,35,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"220,516","356,058","422,985","347,670",16,26,31,26,"922,960","859,270","63,690",7,"918,206","858,149","60,057",7,"44,026"
New York-Albany County,New York,Albany County,36,1,57,66,165,99,226,307,348,427,638,276,157,364,114,123,104,"16,068","52,726","55,638","79,000",8,26,27,39,"160,241","150,487","9,754",6,"157,291","149,585","7,706",5,"55,778"
New York-Allegany County,New York,Allegany County,36,3,0,1,1,2,2,1,0,1,2,6,6,3,4,3,1,"3,583","12,373","8,850","5,765",12,40,29,19,"23,706","21,931","1,775",8,"23,344","21,899","1,445",6,"41,849"
New York-Bronx County,New York,Bronx County,36,5,14,8,9,20,28,27,18,33,73,74,57,39,32,47,49,"261,092","238,471","210,418","156,917",30,28,24,18,"602,625","531,890","70,735",12,"606,630","547,151","59,479",10,"33,079"
New York-Broome County,New York,Broome County,36,7,5,0,1,5,5,11,4,3,19,24,22,62,64,109,65,"13,797","44,101","40,230","34,638",10,33,30,26,"91,573","84,459","7,114",8,"88,320","82,494","5,826",7,"45,142"
New York-Cattaraugus County,New York,Cattaraugus County,36,9,0,0,0,0,0,0,0,0,4,9,3,6,3,4,5,"6,720","22,188","15,466","9,227",13,41,29,17,"37,916","34,719","3,197",8,"36,768","34,239","2,529",7,"40,936"
New York-Cayuga County,New York,Cayuga County,36,11,3,2,1,0,0,2,1,1,0,10,2,2,3,12,7,"7,659","19,603","17,510","10,943",14,35,31,20,"38,707","35,857","2,850",7,"37,714","35,460","2,254",6,"48,976"
New York-Chautauqua County,New York,Chautauqua County,36,13,4,2,0,1,2,3,1,2,7,8,3,7,6,9,6,"11,341","31,551","28,673","18,644",13,35,32,21,"59,973","55,177","4,796",8,"57,727","53,802","3,925",7,"40,468"
New York-Chemung County,New York,Chemung County,36,15,1,0,1,0,0,4,0,2,0,3,1,7,6,25,30,"6,813","21,931","19,075","13,128",11,36,31,22,"39,617","36,492","3,125",8,"38,420","36,013","2,407",6,"45,337"
New York-Chenango County,New York,Chenango County,36,17,3,0,2,0,0,1,2,7,4,10,8,20,14,34,37,"4,670","14,005","10,425","5,999",13,40,30,17,"23,999","22,251","1,748",7,"23,306","21,872","1,434",6,"44,328"
New York-Clinton County,New York,Clinton County,36,19,3,5,2,9,5,5,3,1,7,6,9,13,9,38,25,"8,565","20,050","14,628","12,244",15,36,26,22,"37,061","33,956","3,105",8,"36,049","33,638","2,411",7,"45,900"
New York-Columbia County,New York,Columbia County,36,21,595,647,999,904,404,362,375,318,584,356,220,238,183,216,185,"5,818","13,701","13,063","12,788",13,30,29,28,"31,734","29,822","1,912",6,"31,486","29,999","1,487",5,"57,094"
New York-Cortland County,New York,Cortland County,36,23,0,1,0,0,0,1,1,3,1,6,4,4,7,8,14,"2,998","10,786","9,467","7,135",10,35,31,23,"24,221","22,346","1,875",8,"23,764","22,234","1,530",6,"46,163"
New York-Delaware County,New York,Delaware County,36,25,1,2,2,0,2,6,2,4,9,9,8,10,13,23,25,"4,461","12,773","9,661","6,660",13,38,29,20,"20,971","19,321","1,650",8,"20,239","18,927","1,312",7,"43,380"
New York-Dutchess County,New York,Dutchess County,36,27,1086,1121,1720,1283,1076,1398,930,551,1141,413,206,205,132,173,225,"20,908","55,530","57,954","65,966",10,28,29,33,"145,001","135,363","9,638",7,"142,053","134,483","7,570",5,"69,300"
New York-Erie County,New York,Erie County,36,29,7,4,4,1,1,10,4,7,8,14,15,14,11,21,30,"64,108","179,091","190,226","193,876",10,29,30,31,"458,456","424,524","33,932",7,"448,222","420,943","27,279",6,"51,123"
New York-Essex County,New York,Essex County,36,31,1,2,2,1,2,1,4,6,24,43,24,16,22,83,32,"3,630","9,938","8,610","6,751",13,34,30,23,"18,053","16,551","1,502",8,"17,593","16,381","1,212",7,"46,337"
New York-Franklin County,New York,Franklin County,36,33,2,0,3,1,0,1,2,1,5,5,7,9,7,18,9,"5,925","13,576","10,621","5,935",16,38,29,16,"21,460","19,566","1,894",9,"20,618","19,116","1,502",7,"42,672"
New York-Fulton County,New York,Fulton County,36,35,1,1,0,0,1,2,0,1,6,10,3,8,9,23,13,"5,672","15,261","12,099","5,785",15,39,31,15,"24,636","22,309","2,327",9,"23,463","21,670","1,793",8,"42,264"
New York-Genesee County,New York,Genesee County,36,37,0,0,0,1,0,0,0,0,1,0,0,1,1,2,4,"4,004","15,275","13,544","8,601",10,37,33,21,"30,411","28,340","2,071",7,"30,085","28,424","1,661",6,"42,641"
New York-Greene County,New York,Greene County,36,39,97,95,179,119,99,121,147,157,313,247,127,148,114,204,131,"4,750","13,133","10,104","7,054",14,37,29,20,"21,243","19,410","1,833",9,"20,823","19,428","1,395",7,"50,190"
New York-Hamilton County,New York,Hamilton County,36,41,1,0,0,0,1,0,0,3,0,1,1,0,0,1,1,377,"1,297","1,158",902,10,35,31,24,"2,416","2,189",227,9,"2,443","2,265",178,7,"45,737"
New York-Herkimer County,New York,Herkimer County,36,43,0,1,3,2,2,2,5,4,11,15,9,12,23,38,20,"5,065","15,847","14,582","9,173",11,35,33,21,"29,896","27,552","2,344",8,"29,085","27,121","1,964",7,"42,460"
New York-Jefferson County,New York,Jefferson County,36,45,4,4,7,1,1,2,14,8,37,49,30,44,43,101,29,"8,683","25,548","24,298","14,664",12,35,33,20,"48,156","43,701","4,455",9,"46,699","43,130","3,569",8,"46,510"
New York-Kings County,New York,Kings County,36,47,21,5,13,42,60,71,79,82,178,255,156,178,125,245,285,"361,310","458,505","346,245","514,539",21,27,21,31,"1,210,844","1,097,519","113,325",9,"1,222,973","1,128,931","94,042",8,"47,067"
New York-Lewis County,New York,Lewis County,36,49,1,0,0,0,0,0,0,0,2,3,3,2,7,7,4,"2,286","8,564","5,019","2,496",12,47,27,14,"12,201","11,045","1,156",10,"11,890","10,960",930,8,"45,926"
New York-Livingston County,New York,Livingston County,36,51,1,0,1,2,0,1,0,0,2,2,1,5,1,4,1,"4,578","14,519","13,043","10,363",11,34,31,24,"31,778","29,530","2,248",7,"31,039","29,245","1,794",6,"51,901"
New York-Madison County,New York,Madison County,36,53,0,2,5,4,3,3,1,0,11,6,8,14,6,35,7,"4,571","16,097","14,414","12,278",10,34,30,26,"34,301","31,690","2,611",8,"33,428","31,285","2,143",6,"51,057"
New York-Monroe County,New York,Monroe County,36,55,4,3,4,3,4,10,6,10,12,25,13,22,40,89,60,"51,634","124,170","143,073","177,802",10,25,29,36,"373,135","347,217","25,918",7,"364,745","343,666","21,079",6,"51,722"
New York-Montgomery County,New York,Montgomery County,36,57,2,1,1,1,2,3,4,7,25,21,23,30,20,26,18,"5,741","12,536","10,502","5,499",17,37,31,16,"23,089","20,969","2,120",9,"22,242","20,581","1,661",8,"43,880"
New York-Nassau County,New York,Nassau County,36,59,86,48,82,75,59,122,116,104,40,122,21,30,14,25,25,"89,747","227,254","221,068","382,400",10,25,24,42,"694,605","653,605","41,000",6,"684,861","652,211","32,650",5,"95,395"
New York-New York County,New York,New York County,36,61,107,37,23,105,189,225,170,221,403,528,362,352,262,308,337,"168,350","152,787","171,911","705,633",14,13,14,59,"902,951","836,046","66,905",7,"915,344","859,957","55,387",6,"71,443"
New York-Niagara County,New York,Niagara County,36,63,2,1,1,3,1,0,1,2,3,5,4,1,1,5,7,"15,117","53,773","47,602","33,300",10,36,32,22,"104,557","95,794","8,763",8,"102,089","94,994","7,095",7,"46,752"
New York-Oneida County,New York,Oneida County,36,65,5,1,2,2,1,5,3,9,26,14,18,49,36,82,41,"21,378","52,280","50,527","35,817",13,33,32,22,"106,873","98,903","7,970",8,"103,635","97,316","6,319",6,"44,031"
New York-Onondaga County,New York,Onondaga County,36,67,10,5,9,7,11,10,13,10,67,35,29,86,24,45,40,"31,277","83,449","92,713","102,640",10,27,30,33,"230,905","215,106","15,799",7,"224,744","212,234","12,510",6,"52,055"
New York-Ontario County,New York,Ontario County,36,69,0,1,2,1,2,2,2,3,2,3,5,2,7,18,15,"6,087","21,233","23,528","23,609",8,29,32,32,"55,710","52,200","3,510",6,"54,551","51,686","2,865",5,"57,846"
New York-Orange County,New York,Orange County,36,71,611,532,541,587,518,536,467,290,396,419,241,316,189,257,194,"28,928","68,966","70,124","67,714",12,29,30,29,"178,277","166,075","12,202",7,"175,742","166,109","9,633",6,"68,249"
New York-Orleans County,New York,Orleans County,36,73,0,0,0,1,0,1,0,1,1,0,0,0,0,4,2,"4,261","11,920","8,448","4,834",14,40,29,16,"18,644","16,946","1,698",9,"18,165","16,781","1,384",8,"43,876"
New York-Oswego County,New York,Oswego County,36,75,2,2,0,4,3,0,1,4,6,4,5,8,17,56,35,"10,834","32,428","22,507","13,622",14,41,28,17,"56,997","51,387","5,610",10,"55,142","50,713","4,429",8,"46,281"
New York-Otsego County,New York,Otsego County,36,77,2,1,3,2,1,0,2,8,14,13,17,35,32,63,53,"4,175","13,746","11,532","10,788",10,34,29,27,"31,018","28,902","2,116",7,"30,248","28,528","1,720",6,"47,689"
New York-Putnam County,New York,Putnam County,36,79,290,211,247,303,205,191,149,140,202,133,61,102,76,125,98,"5,403","18,029","19,127","26,527",8,26,28,38,"51,167","48,067","3,100",6,"50,203","47,752","2,451",5,"92,014"
New York-Queens County,New York,Queens County,36,81,21,8,11,41,42,46,21,52,104,134,118,117,88,104,103,"313,136","429,060","360,816","473,793",20,27,23,30,"1,141,925","1,053,630","88,295",8,"1,157,675","1,083,808","73,867",6,"56,307"
New York-Rensselaer County,New York,Rensselaer County,36,83,68,88,122,157,200,208,271,349,542,296,148,281,214,310,196,"10,468","32,263","34,296","30,905",10,30,32,29,"83,176","77,634","5,542",7,"81,533","77,177","4,356",5,"56,643"
New York-Richmond County,New York,Richmond County,36,85,14,5,3,12,37,31,17,29,50,60,34,45,35,39,75,"38,164","102,296","82,961","94,495",12,32,26,30,"220,219","201,035","19,184",9,"222,974","206,826","16,148",7,"68,621"
New York-Rockland County,New York,Rockland County,36,87,70,97,120,196,167,254,243,200,353,325,99,96,88,108,99,"24,751","47,500","46,082","80,265",12,24,23,40,"150,126","140,784","9,342",6,"148,428","140,828","7,600",5,"80,132"
New York-St. Lawrence County,New York,St. Lawrence County,36,89,3,1,1,4,2,2,1,10,25,47,33,40,50,155,111,"9,201","26,203","21,560","14,573",13,37,30,20,"48,318","43,903","4,415",9,"47,230","43,582","3,648",8,"43,556"
New York-Saratoga County,New York,Saratoga County,36,91,11,15,15,11,42,69,83,126,364,148,104,170,136,207,67,"10,223","40,328","46,339","57,203",7,26,30,37,"117,662","110,823","6,839",6,"115,554","110,183","5,371",5,"69,917"
New York-Schenectady County,New York,Schenectady County,36,93,7,3,7,13,17,26,22,34,93,38,23,30,18,29,23,"10,098","32,681","31,970","30,568",10,31,30,29,"77,787","72,555","5,232",7,"76,221","72,123","4,098",5,"53,978"
New York-Schoharie County,New York,Schoharie County,36,95,0,2,2,2,2,4,5,11,23,26,14,29,12,31,20,"2,800","8,435","6,806","4,305",13,38,30,19,"15,246","14,004","1,242",8,"14,921","13,929",992,7,"49,307"
New York-Schuyler County,New York,Schuyler County,36,97,1,0,1,1,0,0,1,1,1,1,4,7,14,34,9,"1,435","5,161","4,346","2,228",11,39,33,17,"8,836","8,075",761,9,"8,578","7,984",594,7,"44,080"
New York-Seneca County,New York,Seneca County,36,99,1,0,1,2,0,2,2,0,0,3,0,8,4,4,2,"3,783","8,485","7,790","4,759",15,34,31,19,"15,855","14,763","1,092",7,"15,570","14,690",880,6,"45,265"
New York-Steuben County,New York,Steuben County,36,101,2,0,0,0,0,1,0,0,5,2,3,4,9,20,23,"8,063","24,610","21,438","14,184",12,36,31,21,"45,547","41,688","3,859",9,"44,267","41,203","3,064",7,"46,540"
New York-Suffolk County,New York,Suffolk County,36,103,581,417,513,288,561,542,190,124,542,216,297,334,240,201,231,"102,686","303,429","272,725","332,937",10,30,27,33,"778,226","727,502","50,724",7,"766,711","725,918","40,793",5,"84,940"
New York-Sullivan County,New York,Sullivan County,36,105,14,8,18,15,39,36,34,69,118,50,38,37,23,26,22,"8,287","18,019","16,002","11,165",15,34,30,21,"34,485","31,653","2,832",8,"33,318","31,093","2,225",7,"46,928"
New York-Tioga County,New York,Tioga County,36,107,2,3,4,3,3,1,2,3,1,7,16,24,27,61,42,"3,201","12,958","10,678","8,507",9,37,30,24,"24,897","23,107","1,790",7,"24,033","22,567","1,466",6,"51,026"
New York-Tompkins County,New York,Tompkins County,36,109,8,3,5,10,5,3,2,8,42,49,70,145,21,43,29,"4,042","11,706","13,783","28,707",7,20,24,49,"55,763","52,865","2,898",5,"54,643","52,281","2,362",4,"49,457"
New York-Ulster County,New York,Ulster County,36,111,214,202,334,300,295,400,358,361,778,582,269,193,152,222,197,"14,416","37,647","37,664","38,199",11,29,29,30,"90,094","83,573","6,521",7,"88,232","83,136","5,096",6,"56,933"
New York-Warren County,New York,Warren County,36,113,0,3,1,0,9,12,12,20,20,94,34,19,33,76,46,"4,376","16,003","13,687","13,267",9,34,29,28,"32,980","30,322","2,658",8,"32,244","30,146","2,098",7,"52,552"
New York-Washington County,New York,Washington County,36,115,1,0,1,5,17,22,56,83,183,181,115,272,77,127,58,"5,551","19,392","11,594","8,208",12,43,26,18,"29,270","27,118","2,152",7,"28,705","26,971","1,734",6,"48,522"
New York-Wayne County,New York,Wayne County,36,117,1,2,1,0,0,0,0,2,2,1,1,3,2,15,7,"7,251","23,176","20,388","13,425",11,36,32,21,"45,794","42,323","3,471",8,"44,652","41,904","2,748",6,"50,603"
New York-Westchester County,New York,Westchester County,36,119,280,413,339,746,746,458,263,251,264,207,114,167,71,79,92,"80,445","140,185","134,330","294,946",12,22,21,45,"475,821","446,053","29,768",6,"470,316","446,219","24,097",5,"83,094"
New York-Wyoming County,New York,Wyoming County,36,121,0,1,1,1,0,1,1,1,0,2,1,1,2,1,2,"4,123","11,953","9,596","4,387",14,40,32,15,"18,743","17,262","1,481",8,"18,411","17,212","1,199",7,"51,676"
New York-Yates County,New York,Yates County,36,123,1,0,0,1,0,0,1,0,0,0,1,4,5,14,13,"2,366","5,908","4,367","3,818",14,36,27,23,"11,913","11,116",797,7,"11,673","11,022",651,6,"45,509"
New York-New York,New York,New York,36,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,961,250","3,586,409","3,276,901","4,386,500",15,27,25,33,"9,631,802","8,890,997","740,805",8,"9,569,062","8,964,021","605,041",6,"57,255"
North Carolina-Alamance County,North Carolina,Alamance County,37,1,1,0,0,2,1,0,2,0,1,1,0,0,1,2,2,"17,190","29,869","32,072","21,910",17,30,32,22,"77,163","71,513","5,650",7,"76,272","71,999","4,273",6,"43,001"
North Carolina-Alexander County,North Carolina,Alexander County,37,3,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,"5,375","10,225","7,299","3,042",21,39,28,12,"17,428","16,088","1,340",8,"17,155","16,204",951,6,"46,064"
North Carolina-Alleghany County,North Carolina,Alleghany County,37,5,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,"1,658","2,648","2,262","1,470",21,33,28,18,"4,406","4,022",384,9,"4,346","4,053",293,7,"37,086"
North Carolina-Anson County,North Carolina,Anson County,37,7,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,"4,359","7,458","4,672","1,871",24,41,25,10,"10,894","9,873","1,021",9,"10,864","10,104",760,7,"33,443"
North Carolina-Ashe County,North Carolina,Ashe County,37,9,0,1,2,5,0,0,0,0,2,0,2,0,0,0,2,"3,726","6,260","6,158","3,921",19,31,31,20,"12,828","11,655","1,173",9,"12,310","11,477",833,7,"35,155"
North Carolina-Avery County,North Carolina,Avery County,37,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"2,404","3,898","4,057","2,658",18,30,31,20,"7,666","6,989",677,9,"7,606","7,123",483,6,"34,933"
North Carolina-Beaufort County,North Carolina,Beaufort County,37,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"6,158","10,990","10,305","6,155",18,33,31,18,"20,394","18,473","1,921",9,"19,864","18,439","1,425",7,"39,043"
North Carolina-Bertie County,North Carolina,Bertie County,37,15,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,"4,016","5,449","3,628","1,556",27,37,25,11,"8,436","7,593",843,10,"8,436","7,777",659,8,"31,610"
North Carolina-Bladen County,North Carolina,Bladen County,37,17,0,0,0,1,1,0,0,0,0,1,0,0,1,5,0,"6,052","7,842","7,540","2,519",25,33,31,11,"14,309","12,672","1,637",11,"14,229","12,923","1,306",9,"33,971"
North Carolina-Brunswick County,North Carolina,Brunswick County,37,19,0,1,3,1,1,0,1,1,1,0,2,2,3,5,9,"11,447","22,996","27,928","20,933",14,28,34,25,"47,520","42,937","4,583",10,"47,307","43,735","3,572",8,"47,799"
North Carolina-Buncombe County,North Carolina,Buncombe County,37,21,0,0,0,1,1,1,0,0,2,3,1,3,0,4,5,"18,992","43,853","51,088","58,257",11,25,30,34,"127,564","120,012","7,552",6,"127,155","121,350","5,805",5,"45,738"
North Carolina-Burke County,North Carolina,Burke County,37,23,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,"14,525","18,931","18,616","10,381",23,30,30,17,"40,009","36,706","3,303",8,"39,324","36,892","2,432",6,"36,150"
North Carolina-Cabarrus County,North Carolina,Cabarrus County,37,25,0,0,1,5,0,0,0,0,1,0,1,1,4,2,1,"16,060","32,560","39,858","29,670",14,28,34,25,"91,894","85,006","6,888",8,"92,661","87,430","5,231",6,"55,046"
North Carolina-Caldwell County,North Carolina,Caldwell County,37,27,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,"13,902","18,619","17,468","7,117",24,33,31,12,"36,263","32,820","3,443",10,"35,472","32,967","2,505",7,"34,811"
North Carolina-Camden County,North Carolina,Camden County,37,29,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,926,"1,696","2,848","1,270",14,25,42,19,"4,512","4,195",317,7,"4,441","4,175",266,6,"60,537"
North Carolina-Carteret County,North Carolina,Carteret County,37,31,2,0,3,5,4,0,1,0,0,3,0,3,2,2,4,"5,796","13,983","18,009","11,848",12,28,36,24,"31,053","28,692","2,361",8,"30,894","29,048","1,846",6,"46,227"
North Carolina-Caswell County,North Carolina,Caswell County,37,33,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,"4,540","5,929","4,967","1,528",27,35,29,9,"9,829","8,960",869,9,"9,560","8,894",666,7,"37,122"
North Carolina-Catawba County,North Carolina,Catawba County,37,35,0,0,2,1,2,1,0,0,0,0,0,0,0,0,2,"18,629","31,649","32,777","22,132",18,30,31,21,"75,820","69,409","6,411",9,"74,388","69,705","4,683",6,"43,777"
North Carolina-Chatham County,North Carolina,Chatham County,37,37,1,2,0,1,1,0,0,2,1,1,3,3,0,5,1,"6,685","11,284","11,995","17,173",14,24,25,36,"31,507","29,570","1,937",6,"31,582","30,101","1,481",5,"56,981"
North Carolina-Cherokee County,North Carolina,Cherokee County,37,39,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,"3,699","6,567","6,748","3,405",18,32,33,17,"11,238","10,212","1,026",9,"10,957","10,188",769,7,"34,476"
North Carolina-Chowan County,North Carolina,Chowan County,37,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"2,103","3,507","2,651","2,076",20,34,26,20,"5,705","5,149",556,10,"5,649","5,212",437,8,"39,143"
North Carolina-Clay County,North Carolina,Clay County,37,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,020","2,256","2,926","1,605",13,29,37,21,"4,040","3,693",347,9,"4,033","3,775",258,6,"37,078"
North Carolina-Cleveland County,North Carolina,Cleveland County,37,45,1,0,4,3,1,1,0,0,3,2,1,0,0,0,1,"11,867","22,343","20,972","10,767",18,34,32,16,"46,380","42,030","4,350",9,"45,480","42,232","3,248",7,"40,528"
North Carolina-Columbus County,North Carolina,Columbus County,37,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"8,181","12,378","14,035","4,792",21,31,36,12,"24,023","21,571","2,452",10,"22,885","20,978","1,907",8,"35,026"
North Carolina-Craven County,North Carolina,Craven County,37,49,1,0,1,1,3,0,0,0,0,1,1,0,3,4,6,"8,557","19,030","25,291","14,036",13,28,38,21,"41,352","37,789","3,563",9,"40,884","38,100","2,784",7,"45,022"
North Carolina-Cumberland County,North Carolina,Cumberland County,37,51,0,0,4,1,5,3,1,1,2,2,2,1,12,8,3,"21,029","52,281","77,699","44,430",11,27,40,23,"130,366","117,956","12,410",10,"126,451","116,619","9,832",8,"44,038"
North Carolina-Currituck County,North Carolina,Currituck County,37,53,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,"2,499","5,700","5,391","3,064",15,34,32,18,"12,539","11,588",951,8,"12,289","11,543",746,6,"57,577"
North Carolina-Dare County,North Carolina,Dare County,37,55,0,0,3,2,0,0,1,1,1,2,0,0,4,0,3,"2,136","6,169","9,228","7,721",8,24,37,31,"20,425","18,214","2,211",11,"19,822","18,199","1,623",8,"52,083"
North Carolina-Davidson County,North Carolina,Davidson County,37,57,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,"22,058","37,808","32,676","19,742",20,34,29,18,"79,095","72,650","6,445",8,"77,923","73,120","4,803",6,"40,424"
North Carolina-Davie County,North Carolina,Davie County,37,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,210","9,550","7,975","7,197",15,33,28,25,"19,889","18,426","1,463",7,"19,684","18,571","1,113",6,"49,708"
North Carolina-Duplin County,North Carolina,Duplin County,37,61,0,0,2,0,0,0,0,0,0,0,0,0,0,4,2,"11,187","11,883","11,961","4,087",29,30,31,10,"26,396","24,290","2,106",8,"26,417","24,756","1,661",6,"38,106"
North Carolina-Durham County,North Carolina,Durham County,37,63,2,0,6,6,9,3,0,2,1,3,0,0,3,4,1,"23,978","32,773","43,926","82,708",13,18,24,45,"150,250","140,928","9,322",6,"150,959","143,422","7,537",5,"52,331"
North Carolina-Edgecombe County,North Carolina,Edgecombe County,37,65,0,1,7,1,0,0,0,0,0,1,0,0,0,1,0,"7,703","14,211","11,639","3,939",21,38,31,11,"23,881","20,806","3,075",13,"23,063","20,727","2,336",10,"33,080"
North Carolina-Forsyth County,North Carolina,Forsyth County,37,67,1,1,2,2,0,0,0,0,3,16,1,2,3,8,10,"30,310","61,509","67,249","74,487",13,26,29,32,"176,938","163,732","13,206",8,"174,969","164,722","10,247",6,"46,163"
North Carolina-Franklin County,North Carolina,Franklin County,37,69,2,1,0,1,1,1,0,0,0,3,0,0,0,1,4,"7,784","13,561","12,954","7,059",19,33,31,17,"28,111","25,849","2,262",8,"28,312","26,569","1,743",6,"39,312"
North Carolina-Gaston County,North Carolina,Gaston County,37,71,2,0,1,0,7,0,0,0,0,0,1,1,1,0,0,"26,647","41,179","47,126","25,205",19,29,34,18,"100,455","91,558","8,897",9,"100,681","94,124","6,557",7,"42,461"
North Carolina-Gates County,North Carolina,Gates County,37,73,0,1,2,0,0,0,0,0,0,0,0,2,0,1,0,"1,377","3,032","2,898",956,17,37,35,12,"5,248","4,879",369,7,"5,188","4,883",305,6,"48,194"
North Carolina-Graham County,North Carolina,Graham County,37,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,283","2,022","1,827",860,21,34,30,14,"3,505","2,975",530,15,"3,347","2,916",431,13,"33,553"
North Carolina-Granville County,North Carolina,Granville County,37,77,0,1,0,1,0,0,0,0,0,2,1,2,2,6,1,"7,480","12,796","12,828","6,501",19,32,32,16,"28,371","26,358","2,013",7,"27,965","26,432","1,533",6,"48,680"
North Carolina-Greene County,North Carolina,Greene County,37,79,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,"3,514","4,699","4,731","1,694",24,32,32,12,"9,390","8,647",743,8,"9,363","8,779",584,6,"39,481"
North Carolina-Guilford County,North Carolina,Guilford County,37,81,1,0,0,2,1,0,2,0,2,0,4,3,6,11,15,"39,178","83,087","94,001","107,398",12,26,29,33,"254,494","233,751","20,743",8,"250,327","234,312","16,015",6,"46,093"
North Carolina-Halifax County,North Carolina,Halifax County,37,83,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,983","13,121","10,656","4,389",24,35,29,12,"21,721","19,184","2,537",12,"21,069","19,058","2,011",10,"32,597"
North Carolina-Harnett County,North Carolina,Harnett County,37,85,0,0,2,0,2,0,0,3,0,3,0,0,1,3,3,"11,541","22,455","26,233","13,632",16,30,36,18,"49,531","44,993","4,538",9,"48,877","45,357","3,520",7,"45,257"
North Carolina-Haywood County,North Carolina,Haywood County,37,87,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,"6,047","13,468","13,918","10,016",14,31,32,23,"27,514","25,426","2,088",8,"27,238","25,727","1,511",6,"39,320"
North Carolina-Henderson County,North Carolina,Henderson County,37,89,0,3,0,0,0,1,1,0,0,0,0,1,0,0,2,"9,812","20,963","26,177","21,831",12,27,33,28,"48,981","46,002","2,979",6,"48,956","46,587","2,369",5,"44,561"
North Carolina-Hertford County,North Carolina,Hertford County,37,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"3,815","5,571","4,966","2,607",22,33,29,15,"9,475","8,593",882,9,"9,328","8,652",676,7,"33,616"
